31,CN,Shanghai,Xuhui District,Shanghai Touch Mall,"2/F, No. 699, South Zhongshan' er Rd., Xuhui Dist., Shanghai",60130385," 121.464449,31.193259"
32,CN,Shanghai,Putuo District,Shanghai Bailian Zhonghuan Commerce Plaza,"2/F,  Orient Shopping Centre, No. 1288, Zhenguang Rd., Putuo Dist., Shanghai",61392531," 121.390032,31.251466"
33,CN,Shanghai,Putuo District,Shanghai IMAGO,"2/F,  IMAGO, No. 101, Wuning Rd., Putuo Dist., Shanghai",52366889," 121.430213,31.243697"
34,CN,Shanghai,Changning District,Shanghai Cloud Nine Shopping Mall,"2/F,  Cloud Nine Shopping Mall, No. 1018, Changning Rd., Changning Dist., Shanghai",62109231," 121.422825,31.224801"
35,CN,Shanghai,Huangpu District,Shanghai Joycity,"307, Joycity, No. 166, North Xizang Rd., Huangpu Dist., Shanghai",36527522," 121.478726,31.24878"
36,CN,Shanghai,Hongkou District,Shanghai Cloud Nine Shopping Mall (Hongkou Store),"22-25, 2/F, Building B, No. 388, West Jiangwan Rd., Hongkou Dist., Shanghai",61670356," 121.48359,31.276723"
37,CN,Shanghai,Putuo District,Shanghai Yaxin Square,"2/F, No. 401, Changshou Rd., Putuo Dist., Shanghai",52821692," 121.443652,31.245507"
38,CN,Shanghai,Jiading District,Shanghai Orient Shopping Centre (Jiading Store),"2/F, No. 401, Changshou Rd., Jiading Dist., Shanghai",60949629," 121.255208,31.386348"
39,CN,Shanghai,Jiading District,Shanghai Jiading Life Hub@Anting,"2/F, Building 3, No. 1077, South Moyu Rd., Jiading Dist., Shanghai",69503657," 121.167381,31.294185"
40,CN,Shanghai,Jiading District,Shanghai MCC/Shine Ton City Plaza,"1506, 1/F, No. 7, Lane 4368, South Zhenzhen Rd., Nanxiang Town, Shanghai",31217758," 121.326376,31.302346"
41,CN,Shanghai,Jiading District,Shanghai Jiangqiao Wanda Plaza,"Street shop  No. 1044&1045, Lane 1051, West Jinshajiang Rd., Shanghai",60296107," 121.331103,31.247056"
42,CN,Shanghai,Minhang District,Printemps-Shanghai (Qibao Store),"No. 3755, Qishen Rd., Minhang Dist., Shanghai",60760005," 121.347912,31.172052"
43,CN,Shanghai,Songjiang District,"Songjiang, Shanghai","No. 1029&1030, 1/F, Lane 925, New Songjiang Rd., Songjiang Dist., Shanghai",57644822," 121.22455,31.04466"
44,CN,Beijing,Dongcheng District,"Lily, 3/F, No. 1, Dongzhimennan Main St., Dongcheng Dist.",,84094377,"116.438314,39.946117"
45,CN,Beijing,Dongcheng District,Beijing Xindong' an,"LILY, 4/F, Xin dongan Mart, No. 138, Wangfujing Main St., Dongcheng Dist.",65263521," 116.418095,39.921511"
46,CN,Beijing,Dongcheng District,Beijing Glory Mall,"No. 2-4, 2/F, Beijing Glory Mall, Building 1, No. 18, Chongwai Main St., Dongcheng Dist., Beijing",67116851," 116.425797,39.904638"
47,CN,Beijing,Dongcheng District,Beijing Fuchengmen-Hualian Mall,"LILY, 3/F, Hualian Mall, No. 1, Fuchengmenwai Main St., Xicheng Dist.",88371188-5335," 116.360959,39.929769"
48,CN,Beijing,Dongcheng District,Xizhimen Jiamao,"LILY Counter, 2/F, Xihuan Plaza, No. 1, West Zhimenwai Main St., Xicheng Dist., Beijing",58301231," 116.359079,39.947106"
49,CN,Beijing,Dongcheng District,Beijing-Zhongyou Department Store,"LILY Counter, 5/F,  Zhongyou Department Store, No. 176, West Zhimenwai Main St., Xicheng Dist.",66069730," 116.381348,39.915493"
